Timestamp,Station ID,PM2.5_Forecast_+1h,PM2.5_Forecast_+6h,PM2.5_Forecast_+12h,PM2.5_Forecast_+24h,PM2.5_Forecast_+48h,PM2.5_Forecast_+72h,PM10_Forecast_+1h,PM10_Forecast_+6h,PM10_Forecast_+12h,PM10_Forecast_+24h,PM10_Forecast_+48h,PM10_Forecast_+72h,NO2_Forecast_+1h,NO2_Forecast_+6h,NO2_Forecast_+12h,NO2_Forecast_+24h,NO2_Forecast_+48h,NO2_Forecast_+72h,SO2_Forecast_+1h,SO2_Forecast_+6h,SO2_Forecast_+12h,SO2_Forecast_+24h,SO2_Forecast_+48h,SO2_Forecast_+72h,CO_Forecast_+1h,CO_Forecast_+6h,CO_Forecast_+12h,CO_Forecast_+24h,CO_Forecast_+48h,CO_Forecast_+72h,O3_Forecast_+1h,O3_Forecast_+6h,O3_Forecast_+12h,O3_Forecast_+24h,O3_Forecast_+48h,O3_Forecast_+72h,NH3_Forecast_+1h,NH3_Forecast_+6h,NH3_Forecast_+12h,NH3_Forecast_+24h,NH3_Forecast_+48h,NH3_Forecast_+72h
2025-12-29 20:00:00+00:00,site_124,259.45074,225.40279,230.13803,308.114,244.91527,279.4188,352.1093,281.5187,315.03058,415.64508,408.6562,356.84998,34.110394,30.423347,39.21905,45.640434,46.11234,40.21984,9.329106,8.560524,11.230391,16.63551,19.16567,16.526087,2.1917784,1.6679302,1.839348,2.352704,2.2293706,2.3092382,1.5626091,2.4288595,3.2516832,2.7896242,0.86110413,1.7559313,38.259506,38.47386,38.611385,41.71735,40.496185,35.61905
2025-12-29 21:00:00+00:00,site_124,295.85226,215.30559,265.4334,279.4176,262.6359,290.44257,384.21558,256.02365,363.06778,394.8293,399.68817,369.58694,31.558596,31.30958,49.02134,42.23406,37.465847,38.419395,9.794501,8.5751505,12.083227,16.542877,18.148392,17.560421,2.1770384,1.8705125,1.7075588,2.707617,2.2068365,2.2436836,2.642962,8.386574,2.5602155,5.1072493,4.7486506,4.248438,37.923054,37.315735,39.25434,42.49083,39.48543,34.6992
2025-12-29 22:00:00+00:00,site_124,296.06033,214.80508,256.5809,273.25293,244.62189,269.733,384.84256,301.63675,382.22726,415.0827,396.73035,358.1001,31.752068,31.05692,43.878727,41.995544,44.143185,39.093163,8.513207,10.1665,13.033016,15.449004,19.901287,17.148333,2.0100083,1.5807352,1.6382695,2.2417068,1.8817768,2.117846,2.5585082,6.0632825,7.092089,2.5369875,4.1527896,6.339361,38.830837,38.822247,42.307957,40.052063,35.965252,33.025875
2025-12-29 23:00:00+00:00,site_124,232.03242,219.53625,292.99918,306.9596,249.8866,259.8804,273.28665,246.40947,415.7956,418.2759,368.98477,348.61365,29.071335,35.599403,59.525047,44.344463,50.95868,46.607044,15.916246,16.156878,12.450712,23.245504,27.109974,22.99779,1.612782,1.4734285,1.4904972,2.1307492,1.7475054,1.9901718,4.336895,4.8926716,20.287115,4.687158,7.9407425,8.227121,38.063675,36.12231,38.659622,36.39996,34.396393,28.867495
2025-12-30 00:00:00+00:00,site_124,191.92787,197.26381,300.24835,264.30386,242.2185,243.40787,224.19183,234.9527,410.26382,384.9731,332.242,310.8426,27.724058,37.754345,59.070156,44.784775,47.11799,37.801556,24.911406,22.379957,15.717254,22.88337,23.788528,23.640558,1.956017,1.8609197,1.7977666,1.8915309,1.6852101,1.3843136,3.8652987,4.5482106,35.43883,7.8241816,9.080157,7.230816,35.34442,42.347294,44.70394,34.173557,28.130371,29.612343
2025-12-30 01:00:00+00:00,site_124,182.9221,214.66435,300.05618,230.01593,235.45439,256.54858,239.49878,245.09805,388.25366,379.15805,294.2948,284.29626,25.992107,44.867004,54.452972,42.788605,42.73088,36.502262,21.83204,17.367071,15.641633,24.540596,23.664442,25.37202,1.9965225,1.937773,1.9669068,2.0288365,1.355167,1.7561668,4.7301607,9.322307,55.907402,9.897376,9.557953,8.998673,36.313118,39.916214,41.48755,34.636185,27.703386,27.906315
2025-12-30 02:00:00+00:00,site_124,186.00223,214.6404,312.41916,232.7638,226.36115,234.46707,240.54878,260.84177,415.64536,370.97922,291.44644,302.69693,37.539307,54.649635,57.916233,45.645443,45.84008,41.01163,21.114481,16.04928,15.439736,22.320091,20.272068,23.69483,2.032751,2.044329,1.8813342,1.8195944,1.236495,1.4006983,5.052763,10.881545,55.99276,7.467008,10.368268,7.9626517,38.110703,39.064644,44.489662,35.0745,26.546438,30.810196
2025-12-30 03:00:00+00:00,site_124,219.9942,233.35873,324.033,230.2775,208.00948,222.1331,295.15985,352.42722,439.94174,369.55295,277.6746,274.41617,53.128685,75.593956,64.770775,54.614426,53.319527,43.161293,21.281738,17.670452,17.357944,21.383535,19.692125,21.589857,2.1810164,2.0185897,1.9804564,1.8599802,1.2236592,1.4008948,3.575782,10.132474,49.605247,6.2795672,9.39008,8.861576,35.248352,37.819603,44.376255,36.59908,23.581047,27.57566
2025-12-30 04:00:00+00:00,site_124,211.37537,209.74387,302.5921,210.09172,200.30478,217.2455,275.8637,302.7174,416.8276,345.4625,243.65646,291.3873,63.204567,85.93038,83.431656,61.124313,57.534958,39.767414,21.293402,17.435568,16.958275,20.50055,17.852793,19.821054,2.214933,2.1992986,2.0097067,2.1849174,1.3662869,1.2832772,2.9969459,12.019278,36.50976,10.245309,13.238749,8.728324,31.233982,37.07214,41.362274,33.283695,21.689993,25.831512
2025-12-30 05:00:00+00:00,site_124,254.8807,229.07841,313.72446,233.74619,197.75958,182.33368,330.975,368.58337,445.54236,329.73035,293.63962,234.98138,67.57001,84.8935,103.37782,59.49934,53.087467,41.432182,23.750893,18.296862,20.675661,20.817608,21.03447,20.826761,2.2364628,2.1829066,2.0015767,1.8563004,1.2046471,1.1517146,2.7243905,15.645824,12.008275,8.563165,12.863411,13.031233,32.585808,37.176,41.447773,31.061014,23.25857,27.343554
2025-12-30 06:00:00+00:00,site_124,259.98532,278.2253,306.242,218.09756,178.51262,190.14487,343.82654,415.8927,394.41998,311.92435,268.86655,249.68173,64.34711,76.64074,103.54975,52.169743,53.84825,41.90716,29.017391,20.602976,23.680458,25.07468,24.77807,20.385286,2.0742953,1.9412643,2.1099894,1.8045145,1.3216413,1.3706108,24.829939,44.8096,13.291691,13.946663,28.95762,19.650915,32.970642,34.832924,39.283157,30.439892,23.738176,27.433287
2025-12-30 07:00:00+00:00,site_124,267.027,303.32016,304.17462,206.22046,176.00694,173.76247,350.82663,429.0299,424.68472,319.93594,255.82292,251.354,66.733406,67.10735,102.638466,54.96864,48.65896,42.782043,25.517761,21.743313,21.684177,22.171713,27.2446,20.379084,2.1986732,1.9275465,2.5239174,1.8838379,1.3247048,1.3639923,0.0,58.631264,7.5990553,6.183844,14.468995,13.257881,33.89376,36.165623,39.086308,31.289215,24.174545,29.625458
2025-12-30 08:00:00+00:00,site_124,280.10532,279.77567,305.61636,216.13539,186.06229,188.64993,387.15472,377.89352,489.69327,321.55536,270.76602,255.98424,75.2954,62.899754,90.35675,53.651207,48.665134,40.946968,28.409788,22.160631,23.300198,22.254126,29.170818,22.134182,2.2327335,1.7141168,2.7122653,2.011994,1.4292043,1.3157504,0.88420796,77.01886,5.789612,7.232265,9.522311,10.548465,35.076103,37.602943,42.445293,32.924156,27.343418,29.222164
2025-12-30 09:00:00+00:00,site_124,278.09418,258.11932,349.4685,220.38876,191.86244,197.51506,397.88983,387.31125,458.9412,309.4287,273.99597,271.72693,86.5003,58.804947,74.06742,58.408062,51.86749,42.63227,27.347582,21.92891,27.89783,22.760035,27.272758,18.653532,2.0951903,1.5685967,2.9887326,1.9300538,1.4780037,1.4475725,1.9815278,66.530815,10.435959,6.344403,11.218881,12.508689,34.525818,36.34924,41.14955,31.34707,26.029617,26.84114
2025-12-30 10:00:00+00:00,site_124,321.67432,229.37764,332.5937,249.09816,198.83664,206.48204,473.7831,360.3799,490.28833,344.89258,294.21045,281.08823,92.51195,62.585102,67.04763,59.22615,49.20017,49.72201,26.881765,20.567743,31.764406,22.217585,26.856554,18.656427,2.1308122,1.3938564,2.667018,1.7646708,1.3422141,1.212799,5.0615115,53.07218,8.960111,12.490508,11.335712,12.551777,37.187542,37.978104,42.93045,32.4754,29.27059,29.600996
2025-12-30 11:00:00+00:00,site_124,311.67,246.47212,334.52277,250.90608,221.44649,206.20453,416.9857,314.87637,452.67688,340.54358,315.79434,291.72333,66.16006,60.622063,40.870594,51.219963,46.401585,47.400307,24.91226,18.580431,25.498804,23.191273,26.098606,21.389671,1.7374604,1.4144756,2.5048816,1.5521744,1.2151102,1.1652889,35.44132,38.05729,9.080346,28.13444,28.57051,32.670288,35.10021,36.227245,39.318977,30.79922,26.066076,28.142963
2025-12-30 12:00:00+00:00,site_124,283.07047,263.41568,291.0924,237.12697,231.72047,210.81448,353.29855,335.09998,352.58292,328.50653,325.29184,296.60226,58.13269,64.155876,37.41511,48.659096,46.838867,44.530174,25.348963,20.405901,22.291628,23.633148,23.516558,21.68649,1.1046044,1.3179046,1.5489842,1.3086907,0.9570762,1.0671712,66.84223,17.847847,11.439794,50.207478,44.198856,48.21605,34.72042,37.138718,38.876835,30.430557,27.725151,27.914255
2025-12-30 13:00:00+00:00,site_124,265.73895,323.63058,294.72598,227.33754,242.63037,220.65149,320.60736,411.24496,356.86417,300.9012,327.76505,318.9246,41.957333,67.48823,34.178726,42.431095,49.240757,42.153202,24.890932,25.386988,22.103743,23.701359,19.764519,20.595243,0.54423845,2.2637732,0.9116026,0.7621388,0.73135686,0.70727706,73.18453,9.309024,10.754567,55.626945,56.011574,63.870605,40.201923,40.524113,44.48203,34.329227,30.48843,33.019947
2025-12-30 14:00:00+00:00,site_124,176.6242,365.62988,275.7539,259.0585,233.34674,223.92943,259.3463,491.547,388.48898,316.38443,328.24173,321.16043,44.112896,63.420986,39.468925,44.9551,47.744747,40.36171,25.700798,34.083416,21.359522,23.000797,19.755966,20.116426,0.3991336,2.452287,1.1751733,0.8999766,0.63344514,0.69124776,60.554928,11.110442,10.910862,52.567715,60.964184,70.94619,40.28923,41.741512,36.899353,37.62079,29.932016,34.438663
2025-12-30 15:00:00+00:00,site_124,142.36218,481.32004,257.03073,245.59976,210.65816,214.21155,212.39487,592.8846,338.21548,280.77902,304.2242,288.6738,59.03471,55.127457,42.30854,53.450436,54.19898,43.583588,25.264666,41.18822,19.065355,23.433092,20.451258,21.044157,0.42541623,2.7665884,1.553976,0.9024536,0.52862954,0.65896106,37.172367,12.040341,10.574258,40.463627,48.862007,66.22537,31.831564,41.004784,37.60607,36.514786,27.486628,30.94425
2025-12-30 16:00:00+00:00,site_124,101.8704,512.9989,244.5786,229.91739,210.29733,158.05293,162.58282,532.8058,275.64825,264.34583,266.9515,267.54813,61.827183,47.376614,35.887424,54.16408,52.30688,39.351707,25.642967,45.959938,18.557587,25.592552,23.028072,21.139044,1.0332273,3.4401612,1.7330402,1.3326734,1.0453669,1.0181841,16.689264,10.161022,10.455594,42.53282,49.973404,52.812885,26.220873,39.48806,28.438683,36.112057,25.966833,32.97388
2025-12-30 17:00:00+00:00,site_124,139.68533,477.34872,213.31273,196.30478,219.59538,174.45923,247.27133,548.58453,296.00854,256.62808,269.8113,304.5382,71.76177,50.294483,44.203007,74.390625,65.912506,62.05111,25.807386,41.168667,17.794146,23.008572,19.893852,22.722288,2.1762252,3.0943458,1.8850507,1.7196622,1.5040734,1.7238537,11.390141,8.825574,8.131106,20.01816,23.462828,18.245022,26.331411,33.41857,35.21116,29.963171,29.197773,29.794243
2025-12-30 18:00:00+00:00,site_124,161.21036,400.52545,239.6392,218.33662,217.89148,193.60818,343.4037,472.82132,308.73065,337.8714,319.8516,290.5675,65.370804,45.77743,34.82688,75.300606,75.57562,69.5695,28.487942,35.736774,15.772809,22.12962,20.362814,22.090612,3.4012246,3.0839067,1.9241055,2.3149018,1.8101121,1.7718338,3.6187494,8.434046,11.990685,7.192821,9.893762,8.585406,31.255497,33.504528,31.28758,31.593618,25.065004,29.50882
2025-12-30 19:00:00+00:00,site_124,282.77475,332.19086,228.67596,291.55655,251.40501,204.78261,480.65656,439.30447,330.88495,437.4334,361.6972,333.11618,65.26595,42.960278,46.450493,68.57089,71.47753,67.80233,29.960361,27.961952,12.74663,25.954638,27.391924,21.097986,5.611547,4.314145,2.1402564,3.385535,2.8039086,2.172473,4.1677237,9.423727,12.730117,9.594724,9.188482,5.848566,36.887802,38.41859,37.743725,35.421417,37.428936,34.573162
2025-12-30 20:00:00+00:00,site_124,454.0138,307.67532,291.1587,353.7452,283.97134,296.478,641.3299,465.55988,404.16107,416.36646,413.735,370.46982,55.446285,34.61709,57.489132,56.609554,63.741375,50.07454,33.614445,22.285982,13.376097,25.121288,19.910336,24.12327,6.6733613,2.6224215,2.4371593,3.5711825,3.2812,2.3659403,4.2899036,14.784003,12.900242,4.403731,9.492404,4.8446236,41.322144,33.009167,41.421597,39.325756,35.958447,42.72039
2025-12-30 21:00:00+00:00,site_124,554.6242,277.79416,323.7719,385.0627,318.09647,319.85303,683.7637,480.33557,428.69855,444.0724,497.96286,385.8304,42.396774,37.40769,69.67479,48.72407,53.792213,45.118725,37.446617,18.805586,11.88126,31.06266,22.35048,21.764046,4.604443,3.050187,2.240142,2.8853621,3.5676377,2.718662,4.259041,14.977611,14.9647455,10.502036,8.31681,4.867166,41.54633,37.144222,47.750114,41.284737,36.389008,50.45058
2025-12-30 22:00:00+00:00,site_124,607.5955,282.1616,315.53394,391.45663,333.92645,326.69955,742.82104,446.27756,426.0551,470.4772,460.7565,420.49792,25.625032,33.939507,73.44674,35.087597,44.338005,43.252186,33.198082,16.982412,14.108867,42.422157,22.05966,21.166029,5.7301235,2.9468746,2.1055076,2.6789436,2.912331,3.1715837,7.948318,17.25323,16.768148,10.298542,8.138566,7.3555675,39.208126,30.363659,45.546497,41.51892,34.645008,49.44276
2025-12-30 23:00:00+00:00,site_124,579.0401,296.81625,314.7663,378.0487,310.96396,276.98718,672.2747,433.7996,429.67157,399.4455,409.44595,361.36557,22.153284,30.981936,79.952774,26.426527,38.287354,37.39418,33.08962,16.568123,13.833116,38.939285,21.846651,14.836283,5.7079186,3.0280182,1.9704998,2.421392,1.9066558,2.813007,9.105815,16.461369,10.454814,6.244952,10.264197,9.121318,37.726418,32.21788,49.268646,40.44497,32.156994,43.451637
2025-12-31 00:00:00+00:00,site_124,574.9438,328.70706,334.43866,321.61047,255.8231,247.71371,726.9594,459.3571,473.72482,392.31317,419.4055,292.33185,20.241827,36.07838,68.8419,28.37073,33.364075,48.41575,27.423504,12.251356,9.032139,20.235676,18.567516,15.933081,5.661363,2.9983132,2.1256132,1.9575839,1.7273479,3.4450028,9.076189,12.216508,25.199263,11.970335,9.377389,11.9856,35.70544,37.803913,54.65966,35.64925,33.366467,43.35258
2025-12-31 01:00:00+00:00,site_124,424.74704,310.20514,308.59814,274.98154,240.814,201.95631,503.8821,350.7058,459.30646,373.73032,357.98822,253.27725,20.894491,39.591675,56.108974,26.449463,30.75055,33.626537,24.045887,10.856834,10.383194,22.785421,21.03499,22.679537,4.8919244,2.3832848,1.9652419,1.7867362,1.5189073,1.8085788,10.527245,17.836765,37.414593,13.064049,10.127743,14.8133545,33.98445,33.377945,47.991962,34.86517,31.74731,39.726006
2025-12-31 02:00:00+00:00,site_124,343.89438,252.70734,273.90277,247.12592,222.57901,172.83247,466.6265,368.28476,428.5606,364.06787,334.41458,227.478,23.603258,61.27732,68.914856,30.172228,32.851265,32.556366,23.939615,13.662878,11.960752,18.95978,19.735409,21.29031,4.0048532,2.1561434,1.753896,2.0305502,1.6357017,1.5858737,7.6346807,13.824307,40.80803,12.107461,8.73887,11.948373,32.63252,35.90997,41.713493,34.66807,29.303888,37.91794
2025-12-31 03:00:00+00:00,site_124,307.6865,241.7013,275.85754,216.32628,203.79881,181.72496,412.2976,376.96304,405.6798,319.28317,320.43436,239.55733,24.500961,71.9465,60.016216,28.062641,34.93555,31.165821,20.583216,9.788866,11.569952,14.945827,14.518698,12.804742,3.8852637,2.4801579,1.7622739,1.9398371,1.9280143,1.7504789,5.8480597,11.099372,41.33499,12.487519,8.277182,13.366264,29.926394,36.103687,42.392216,31.291304,33.423172,40.054607
